Brother;Узел автоматической подачи оригиналов;LX5256001;Узел отделения бумаги в автоподатчике документов, в сборе;;;1706;brother\LX5256001.jpg
Brother;Узел автоматической подачи оригиналов;LX5479001;Ось узла подачи бумаги в автоподатчике документов;ролики подачи бумаги в комплекте;;1396;brother\LX5479001.jpg
Brother;Узел автоматической подачи оригиналов;LX5962001;Накладка площадки отделения бумаги в автоподатчике документов, в сборе;;;1404;brother\LX5962001.jpg
Brother;Подача и захват бумаги;LY2579001;Рычаг узла подачи бумаги;;;66;brother\LY2579001.jpg
Brother;Подача и захват бумаги;LY2150001;Электромагнитная муфта узла регистрации;;;711;brother\LY2150001.jpg
Brother;Подача и захват бумаги;LX5199001;Кассета на 250 листов, в сборе;лоток 2;;3446;
Brother;Подача и захват бумаги;LY2144001;Электромагнитная муфта;;;738;brother\LY2144001.jpg
Brother;Подача и захват бумаги;LY2584001;Шестерня узла подачи бумаги;17 зубов;;38;
Brother;Внутренние компоненты;LY2136001;Вентилятор;;;1353;
Brother;Внутренние компоненты;LY2141001;Фильтр;;;357;
Brother;Внутренние компоненты;LY2062001;Шестерня привода тонер-картриджа;21/45 зубов;;86;brother\LY2062001.jpg
Brother;Электронные компоненты;LU9801001;Блок лазера;;;9425;
Brother;Электронные компоненты;LT1353001;Сканирующая линейка;;;2790;brother\LT1353001.jpg
Brother;Электронные компоненты;LT1281001;Плата низковольтного питания;;;4387;brother\LT1281001.jpg
Brother;Электронные компоненты;LY2054001;Главный мотор;;;1962;
Brother;Узел термозакрепления;LY3704001;Печь, в сборе;220В;;13667;brother\LY3704001.jpg
CET;Узел термозакрепления;CET6760;Прижимной вал;;;1514;brother\CET6760.jpg
CET;Узел термозакрепления;CET6759;Тефлоновый вал;;;1219;brother\CET6759.jpg
CET;Узел термозакрепления;CET6762;Комплект подшипников тефлонового вала;2 шт.;;517;brother\CET6762.jpg
Brother;Детали корпуса;LX4184002;Пластиковый флажок поддержки бумаги при выходе из узла автоматической подачи документов;;;441;
Brother;Детали корпуса;LX5055002;Откидная крышка для поддержки бумаги в узле выхода;;;689;
