Canon;Подача и захват бумаги;FM1-J607-000;Кассета на 500 листов, в сборе;лоток 2;;17784;
HP;Подача и захват бумаги;RC2-5771-000CN;Ограничительный ролик в кассете на 500 листов;лоток 2;;1065;canon\RC2-5771-000CN.jpg
HP;Подача и захват бумаги;RL1-1641-000CN;Ролик захвата бумаги из лотка ручной подачи;лоток 1;Снято с производства;;canon\RL1-1641-000CN.jpg
HP;Подача и захват бумаги;RL1-1654-000CN;Ролик отделения бумаги в лотке ручной подачи;лоток 1;;;canon\RL1-1654-000CN.jpg
HP;Подача и захват бумаги;RL1-1663-000CN;Ролик подачи бумаги в лотке ручной подачи;лоток 1;;567;canon\RL1-1663-000CN.jpg
HP;Подача и захват бумаги;RL1-3020-000CN;Ось привода;;;372;
HP;Подача и захват бумаги;RL2-1409-000CN;Соленоид;SL101;;1826;
HP;Подача и захват бумаги;RM1-0036-020CN;Ролик захвата бумаги из кассеты;* для HP LaserJet Pro M701 / M706 / MFP M435 только в допополнительном лотке;;377;canon\RM1-0036-020CN.jpg
HP;Подача и захват бумаги;RM1-0037-020CN;Ролик подачи / отделения бумаги из кассеты;* для HP LaserJet M5025mfp / M5035mfp / M5039mfp / Pro M701 / M706 / MFP M435 / 500 color M551 / 700 M712 / Enterprise MFP M725 только в допополнительном лотке;;375;canon\RM1-0037-020CN.jpg
HP;Подача и захват бумаги;RM1-4548-000CN;Направляющая узла подачи бумаги, в сборе;;;1638;canon\RM1-4548-000CN.jpg
HP;Подача и захват бумаги;RM1-8285-000CN;Мотор привода узла подачи бумаги, в сборе;M101 / привод для лока 1 и лотка 2;;2358;canon\RM1-8285-000CN.jpg
HP;Подача и захват бумаги;RM1-8411-010CN;Узел подачи бумаги, в сборе;;;2733;canon\RM1-8411-010CN.jpg
HP;Подача и захват бумаги;RM1-8415-000CN;Привод узла звхвата бумаги, в сборе;CL101;;1263;canon\RM1-8415-000CN.jpg
HP;Подача и захват бумаги;RM1-8424-000CN;Узел осей подачи бумаги, в сборе;;;1243;
HP;Подача и захват бумаги;RM2-6323-000CN;Узел захвата ручной подачи бумаги, в сборе;лоток 1;;9565;canon\RM2-6323-000CN.jpg
HP;Подача и захват бумаги;RM2-7687-000CN;Датчики узла подачи бумаги, в сборе;PS101/PS107/PS907;;;canon\RM2-7687-000CN.jpg
Canon;Внутренние компоненты;FK4-3450-000;Плоский кабель;J201/J97;;9187;
Canon;Внутренние компоненты;FM1-J621-000;Узел выхода бумаги, в сборе;;;11214;
Canon;Внутренние компоненты;FM1-J623-000;Главный переключатель;;;1889;
Canon;Внутренние компоненты;FM1-K574-000;Интерфейсный разъём;USB;;3372;
Canon;Внутренние компоненты;FM1-K774-000;Кабель мотора привода фотовала;J187/J87;;3483;
Canon;Внутренние компоненты;FM1-U814-000;Кабель панели управления;J1/J2;;3601;
