HP;Подача и захват бумаги;RM1-2699-000CN;Площадка отделения бумаги из лотка ручной подачи, в сборе;лоток 1;;336;canon\RM1-2699-000CN.jpg
HP;Подача и захват бумаги;RM1-2709-000CN;Площадка отделения из 250-листовой кассеты, в сборе;;;602;canon\RM1-2709-000CN.jpg
HP;Подача и захват бумаги;RM1-2741-000CN;Ролик захвата бумаги из лотка ручной подачи;лоток 1;;197;canon\RM1-2741-000CN.jpg
HP;Внутренние компоненты;RC1-6638-000CN;Левый подвижный держатель;;;253;canon\RC1-6638-000CN.jpg
HP;Внутренние компоненты;RK2-0954-000CN;Вентилятор;;;1558;canon\RK2-0954-000CN.jpg
Canon;Узел термозакрепления;RC1-6229-030;Прижимной вал;;;2539;canon\RC1-6229-030.jpg
Canon;Узел термозакрепления;RC1-6263-000;Подшипник прижимного вала;1 шт. / в узле 2 шт.;;291;
Canon;Узел термозакрепления;RC1-6267-000;Шестерня оси в узле термозакрепления;15 зубов / 1 шт. / в узле 2 шт.;;224;
Canon;Узел термозакрепления;RC1-6270-000;Шестерня прижимного вала;23/23 зуба;;234;
HP;Узел термозакрепления;RM1-2764-FILM;Термоплёнка;;;3698;
Canon;Узел термозакрепления;RM1-4349-040;Печь, в сборе;220-240В;;39226;canon\RM1-4349-040.jpg
Canon;Узел термозакрепления;XG9-0572-000;Шариковый подшипник прижимного вала;1 шт. / в узле 2 шт.;;1124;
