HP;Подача и захват бумаги;CE398A;Дополнительный податчик бумаги на 1500 листов;;Снято с производства;;hp\CE398A.jpg
HP;Подача и захват бумаги;CE399A;Устройство подачи конвертов на 75 листов;;;;hp\CE399A.jpg
HP;Подача и захват бумаги;CE988-67905;Комплект роликов для лотка 1;(Включает: ролик захвата, ролик подачи и ролик отделения бумаги)RL1-1641-000CN - Ролик захвата бумаги (1)RL1-1654-000CN - Ролик отделения бумаги (1)RL1-1663-000CN - Ролик подачи бумаги (1);;3725;
HP;Подача и захват бумаги;CE998A;Дополнительный податчик документов;кассета на 500 листов в комплекте;;9668;hp\CE998A.jpg
HP;Подача и захват бумаги;CF062A;Модуль двухсторонней печати;;;14612;hp\CF062A.jpg
HP;Подача и захват бумаги;RC2-5239-000CN;Лоток ручной подачи бумаги;лоток 1;;994;hp\RC2-5239-000CN.jpg
HP;Подача и захват бумаги;RC2-5771-000CN;Ограничительный ролик в кассете на 500 листов;лоток 2;;1065;hp\RC2-5771-000CN.jpg
HP;Подача и захват бумаги;RK2-4078-000CN;Соленоид узла захвата бумаги из кассеты;лоток 2;;880;hp\RK2-4078-000CN.jpg
HP;Подача и захват бумаги;RL1-1641-000CN;Ролик захвата бумаги из лотка ручной подачи;лоток 1;Снято с производства;;hp\RL1-1641-000CN.jpg
HP;Подача и захват бумаги;RL1-1654-000CN;Ролик отделения бумаги в лотке ручной подачи;лоток 1;;;hp\RL1-1654-000CN.jpg
HP;Подача и захват бумаги;RL1-1663-000CN;Ролик подачи бумаги в лотке ручной подачи;лоток 1;;567;hp\RL1-1663-000CN.jpg
HP;Подача и захват бумаги;RL1-3020-000CN;Ось привода;;;372;
HP;Подача и захват бумаги;RM1-1094-050CN;Узел подъёма в лотке на 500 листов, в сборе;;;1694;hp\RM1-1094-050CN.jpg
HP;Подача и захват бумаги;RM1-4548-000CN;Направляющая узла подачи бумаги, в сборе;;;1638;hp\RM1-4548-000CN.jpg
HP;Подача и захват бумаги;RM1-4559-020CN;Кассета на 500 листов, в сборе;лоток 2;;6127;hp\RM1-4559-020CN.jpg
HP;Подача и захват бумаги;RM1-8285-000CN;Мотор привода узла подачи бумаги, в сборе;M101 / привод для лока 1 и лотка 2;;2358;hp\RM1-8285-000CN.jpg
HP;Подача и захват бумаги;RM1-8410-000CN;Привод узла выхода бумаги, в сборе;;;1032;hp\RM1-8410-000CN.jpg
HP;Подача и захват бумаги;RM1-8411-010CN;Узел подачи бумаги, в сборе;;;2733;hp\RM1-8411-010CN.jpg
HP;Подача и захват бумаги;RM1-8415-000CN;Привод узла звхвата бумаги, в сборе;CL101;;1263;hp\RM1-8415-000CN.jpg
HP;Подача и захват бумаги;RM1-8424-000CN;Узел осей подачи бумаги, в сборе;;;1243;
HP;Подача и захват бумаги;RM1-8425-000CN;Узел захвата бумаги из лотка ручной подачи, в сборе;лоток 1;;7012;hp\RM1-8425-000CN.jpg
HP;Внутренние компоненты;RC1-0133-000CN;Пружина растяжения в узле выхода бумаги;;;771;
HP;Внутренние компоненты;RC1-0213-000CN;Пружина прижима в узле подачи бумаги;;;159;
HP;Внутренние компоненты;RC1-0214-000CN;Подшипник;;;171;
HP;Внутренние компоненты;RC2-2480-000CN;Выпуск рычажного механизма;соединяет крышку доступа к картриджу и шестерню привода фотовала;;645;
HP;Внутренние компоненты;RC3-1403-000CN;Подшипник;;;1040;
HP;Внутренние компоненты;RK2-1988-000CN;Вентилятор;FN101;;864;hp\RK2-1988-000CN.jpg
HP;Внутренние компоненты;RK2-1989-000CN;Вентилятор;FN102;;1006;hp\RK2-1989-000CN.jpg
HP;Внутренние компоненты;RK2-1992-000CN;Вентилятор;;;864;hp\RK2-1992-000CN.jpg
HP;Внутренние компоненты;RK2-3244-000CN;Вентилятор картриджа;;;5171;hp\RK2-3244-000CN.jpg
HP;Внутренние компоненты;RK2-4077-000CN;Плоский кабель;;;1548;hp\RK2-4077-000CN.jpg
HP;Внутренние компоненты;RM1-4525-000CN;Узел определения формата бумаги, в сборе;SW102;;788;hp\RM1-4525-000CN.jpg
HP;Внутренние компоненты;RM1-4539-000CN;Датчик чтения информации с картриджа, в сборе;TG101;;500;hp\RM1-4539-000CN.jpg
HP;Внутренние компоненты;RM1-4585-000CN;Привод узла подъёма;;;1135;
HP;Внутренние компоненты;RM1-5085-000CN;Кабель;подача конвертов;;561;
HP;Внутренние компоненты;RM1-5088-000CN;Кабель мотора привода узла термозакрепления;;;260;
HP;Внутренние компоненты;RM1-5461-000CN;Узел заземления, в сборе;;;329;hp\RM1-5461-000CN.jpg
HP;Внутренние компоненты;RM1-8308-000CN;Кабель мотора привода фотовала;J187/J87;;1174;
HP;Внутренние компоненты;RM1-8311-000CN;Кабель мотора привода узла подачи бумаги;J191/J91;;681;
HP;Внутренние компоненты;RM1-8340-000CN;Кабель блока лазера;J145/J93;;1485;
HP;Внутренние компоненты;RM1-8344-000CN;Кабель переключателя;J31/J33;;349;
HP;Внутренние компоненты;RM1-8413-000CN;Узел регистрации, в сборе;;;2943;hp\RM1-8413-000CN.jpg
HP;Внутренние компоненты;RM1-8414-000CN;Узел выхода бумаги, в сборе;;;2951;hp\RM1-8414-000CN.jpg
HP;Внутренние компоненты;RM1-8438-000CN;Датчик температуры;TH3;;332;hp\RM1-8438-000CN.jpg
HP;Внутренние компоненты;RM1-8441-000CN;Привод узла захвата бумаги из кассеты на 500 листов, в сборе;;;1849;hp\RM1-8441-000CN.jpg
HP;Внутренние компоненты;RM1-8457-000CN;Привод узла захвата бумаги из кассеты на 1500 листов, в сборе;;;2552;
HP;Внутренние компоненты;RM1-8489-000CN;Привод картриджа, в сборе;;;1714;hp\RM1-8489-000CN.jpg
HP;Внутренние компоненты;RU5-0040-000CN;Шестерня;23 зуба;;;
HP;Внутренние компоненты;RU5-0088-000CN;Шестерня;18 зубов;;1198;
CN;Внутренние компоненты;RU6-0190-000;Шестерня привода фотовала;193 зуба;;680;
HP;Внутренние компоненты;RU6-2105-000CN;Пружина заземления в узле выхода бумаги;;;329;
HP;Внутренние компоненты;RU7-0295-000CN;Шестерня;23/19 зубов;;3590;
HP;Внутренние компоненты;VS1-7514-006CN;Соединитель;;;339;
HP;Внутренние компоненты;WC2-5637-000CN;Механический переключатель;;;346;hp\WC2-5637-000CN.jpg
HP;Внутренние компоненты;WG8-5849-000CN;Датчик наличия бумаги;;;389;hp\WG8-5849-000CN.jpg
HP;Внутренние компоненты;XD9-0232-000CN;Стопорное кольцо;;;158;
HP;Внутренние компоненты;XD9-0233-000CN;Стопорное кольцо;;;230;
HP;Узел переноса;CE988-67903;Вал переноса заряда, в сборе;;;;hp\CE988-67903.jpg
HP;Электронные компоненты;CE502-67915;Жёсткий диск;250ГБ / Encryped;;19769;
HP;Электронные компоненты;CE988-67912;Плата форматтера;;;8338;hp\CE988-67912.jpg
HP;Электронные компоненты;RH7-1603-020CN;Мотор в податчике документов на 1500 листов;;;1343;
HP;Электронные компоненты;RM1-5051-020CN;Мотор привода печки;;;1600;
HP;Электронные компоненты;RM1-8289-010CN;Панель управления, в сборе;;;4964;
HP;Электронные компоненты;RM1-8293-130CN;Плата контроллера напряжения;;;7664;hp\RM1-8293-130CN.jpg
HP;Электронные компоненты;RM1-8358-000CN;Мотор привода фотовала;M102;;5554;hp\RM1-8358-000CN.jpg
HP;Электронные компоненты;RM1-8393-050CN;Плата высоковольтного питания;220В;;8338;hp\RM1-8393-050CN.jpg
HP;Электронные компоненты;RM1-8406-000CN;Блок лазера;;;10527;hp\RM1-8406-000CN.jpg
CN;Узел термозакрепления;BUSHING-M601;Подшипник прижимного вала;;;98;
HP;Узел термозакрепления;CE988-67915;Печь, в сборе;220В;;19261;hp\CE988-67915.jpg
CET;Узел термозакрепления;CET2473;Узел термозакрепления, в сборе;220В;;11100;hp\CET2473.jpg
CET;Узел термозакрепления;CET2705;Узел термозакрепления;220В / без термоплёнки;;7409;hp\CET2705.jpg
CET;Узел термозакрепления;LPR-M601;(CET2439) Прижимной вал;;;1090;hp\LPR-M601.jpg
HP;Узел термозакрепления;RC1-0136-000CN;Подшипник вала выхода бумаги из узла термозакрепления;;;932;
CN;Узел термозакрепления;RC2-2432-M600;Привод узла термозакрепления, в сборе;колебательный узел;;2152;hp\RC2-2432-M600.jpg
HP;Узел термозакрепления;RM1-4579-FILM;Термоплёнка;;;4434;hp\RM1-4579-FILM.jpg
CN;Узел термозакрепления;RM1-8396-HEAT;Нагревательный элемент узла термозакрепления;220В;;2040;
CET;Узел термозакрепления;RM1-8396-TH1;(CET6885) Первый термистор узла термозакрепления;;;;hp\RM1-8396-TH1.jpg
CET;Узел термозакрепления;RM1-8396-TH2;(CET6886) Второй термистор узла термозакрепления;;;;hp\RM1-8396-TH2.jpg
CN;Узел термозакрепления;RU7-0296-000;Шестерня прижимного вала;32 зуба;;258;
HP;Детали корпуса;CB525A;Мобильный стенд;;;;hp\CB525A.jpg
