HP;Узел автоматической подачи оригиналов;CB780-60032;Узел захвата бумаги из автоподатчика документов, в сборе;;;1773;
HP;Узел автоматической подачи оригиналов;CB780-80008;Площадка отделения бумаги из автоподатчика документов;;;1921;
HP;Узел автоматической подачи оригиналов;CE841-60106;Автоподатчик документов, в сборе;;Снято с производства;;hp\CE841-60106.jpg
HP;Узел автоматической подачи оригиналов;CE841-60118;Лоток подачи бумаги автоподатчика документов;;;1714;
CN;Подача и захват бумаги;RC2-1061-000CN;Вал протяжки бумаги;;;1063;
CN;Подача и захват бумаги;RC2-1128-000CN;Ось узла захвата бумаги, в сборе;ролик захвата в комплект не входит;;;
HP;Подача и захват бумаги;RL1-2593-000CN;Ролик захвата бумаги из лотка подачи;;;459;hp\RL1-2593-000CN.jpg
HP;Подача и захват бумаги;RM1-4006-000CN;Площадка отделения бумаги из лотка подачи;;;476;hp\RM1-4006-000CN.jpg
HP;Подача и захват бумаги;RM1-7737-000CN;Узел захвата бумаги, в сборе;вал переноса заряда в комплекте;;2716;
HP;Внутренние компоненты;CE841-00014;Пружина панели управления;;;;
HP;Внутренние компоненты;CE841-00017;Защёлка в линейке сканирования;;;;
CN;Внутренние компоненты;FFK-M1212;Раздвоенный шлейф каретки сканера;20 жил / 16+4 жилы;;1627;
CN;Внутренние компоненты;RC2-9217-000;Направляющая картриджа;правая;;173;
CN;Внутренние компоненты;RC2-9218-000;Направляющая картриджа;левая;;884;
HP;Внутренние компоненты;RM1-7604-000CN;Шлейф блока лазера;;;338;
CN;Внутренние компоненты;RU5-0982-000;Шестерня редуктора;;;205;hp\RU5-0982-000.jpg
CN;Внутренние компоненты;RU5-0989 / RU5-0990;Муфта; (в сборе) привода узла подачи бумаги;;240;
HP;Узел переноса;RM1-4023-000CN;Вал переноса заряда;;;1579;hp\RM1-4023-000CN.jpg
HP;Электронные компоненты;CE538-60128;Мотор планшетного сканера;;;1913;
HP;Электронные компоненты;CE832-60001;Плата форматтера;;;6546;
HP;Электронные компоненты;CE841-60110;Панель управления;;;3188;
HP;Электронные компоненты;CE841-60111;Линейка сканирования с редуктором, в сборе;;;7609;
HP;Электронные компоненты;CE841-60125;Планшетный сканер, в сборе;автоподатчик документов в комплект не входит;;;
HP;Электронные компоненты;CE842-60101;Телефонная трубка;;Снято с производства;3034;
HP;Электронные компоненты;Q8418-60043;Линейка сканирования;;;5094;
HP;Электронные компоненты;RL1-2949-000CN;Главный мотор;;;3432;hp\RL1-2949-000CN.jpg
HP;Электронные компоненты;RM1-6878-010CN;Блок лазера;;;1545;
HP;Электронные компоненты;RM1-7902-000CN;Плата контроллера напряжения;220В;;2051;hp\RM1-7902-000CN.jpg
Canon;Узел термозакрепления;RC2-9208-000;Прижимной вал;;;3393;
HP;Узел термозакрепления;RG9-1494-FILM;Термоплёнка;смазка в комплекте;;1057;
HP;Узел термозакрепления;RM1-6873-000CN;Узел термозакрепления;220В;;3103;hp\RM1-6873-000CN.jpg
HP;Узел термозакрепления;RM1-8283-000CN;Печь, в сборе;220В;;15591;
CN;Узел термозакрепления;RU7-0100-000;Шестерня прижимного вала;26 зубов;;257;hp\RU7-0100-000.jpg
HP;Детали корпуса;RM1-7727-000CN;Выходной лоток для бумаги, в сборе;;;1219;hp\RM1-7727-000CN.jpg
HP;Детали корпуса;RM1-7728-000CN;Входной лоток подачи бумаги, в сборе;;;2009;
HP;Документация;CE841-90985;Сервисная документация;Английский язык;;;
