HP;Узел автоматической подачи оригиналов;RM1-0890-000CN;Площадка отделения бумаги из автоподатчика документов, в сборе;В сервисной документации HP LJ 3015/3020/3030 (Q2665-90901) обозначен ресурс в 25,000 стр.;;1798;hp\RM1-0890-000CN.jpg
HP;Узел автоматической подачи оригиналов;RM1-0891-000CN;Площадка (накладка) отделения бумаги из автоподатчика документов;В сервисной документации HP LJ 3015/3020/3030 (Q2665-90901) обозначен ресурс в 25,000 стр.;;1769;hp\RM1-0891-000CN.jpg
HP;Подача и захват бумаги;RL1-0266-000CN;Ролик захвата бумаги из лотка подачи 1;В сервисной документации HP LJ 1010/1012/1015/1020 (Q5911-90945) обозначен ресурс в 50,000 стр.2) В сервисной документации HP LJ 3015/3020/3030 (Q2665-90901) обозначен ресурс в 50,000 стр.;;428;hp\RL1-0266-000CN.jpg
HP;Подача и захват бумаги;RM1-0885-000CN;Ролик захвата бумаги в сканере;;;2009;hp\RM1-0885-000CN.jpg
HP;Подача и захват бумаги;RM1-2048-000CN;Площадка отделения из лотка подачи, в сборе;;Снято с производства;690;hp\RM1-2048-000CN.jpg
HP;Подача и захват бумаги;RM1-3043-000CN;Узел захвата бумаги, в сборе;площадка отделения из лотка подачи в комплект не входит;Снято с производства;3873;
HP;Внутренние компоненты;RC1-1953-000CN;Прижимной подшипник шестерни привода фотовала;;;264;hp\RC1-1953-000CN.jpg
HP;Внутренние компоненты;RC1-2498-000CN;Защёлка сканера;левая;;991;
HP;Внутренние компоненты;RC1-2499-000CN;Защелка сканера;правая;Снято с производства;1259;hp\RC1-2499-000CN.jpg
HP;Внутренние компоненты;RM1-3066-010CN;Направляющая сканера, в сборе;;;1965;hp\RM1-3066-010CN.jpg
Canon;Внутренние компоненты;RU5-0175-000;Шестерня привода фотовала;108 зубов;;432;hp\RU5-0175-000.jpg
HP;Узел переноса;RM1-2062-000CN;Вал переноса заряда;;;1311;hp\RM1-2062-000CN.jpg
HP;Электронные компоненты;CB536-60102;Телефонная трубка;;Снято с производства;;
HP;Электронные компоненты;CC391-60001;Плата форматтера;;;11135;
HP;Электронные компоненты;CC392-60001;Плата факса;;;1882;
HP;Электронные компоненты;RK2-0777-000CN;Главный мотор;;;2371;
HP;Электронные компоненты;RM1-2033-000CN;Блок лазера;;;7012;hp\RM1-2033-000CN.jpg
HP;Электронные компоненты;RM1-3063-000CN;Блок сканера;верхняя крышка и панель управления в комплект не входят;;12496;hp\RM1-3063-000CN.jpg
HP;Электронные компоненты;RM1-3404-000CN;Блок управления двигателем;;;2720;hp\RM1-3404-000CN.jpg
HP;Электронные компоненты;RM1-5178-000CN;Панель управления, в сборе;кнопки управления и дисплей;;2446;
HP;Электронные компоненты;RM1-5281-000CN;Плата питания;220В;;1427;
Canon;Узел термозакрепления;RC1-2079-000;Подшипник прижимного вала;1 шт. / в узле 2 шт.;;120;hp\RC1-2079-000.jpg
Canon;Узел термозакрепления;RC1-5582-000;Прижимной вал;;;5015;
HP;Узел термозакрепления;RG9-1494-FILM;Термоплёнка;смазка в комплекте;;1057;
HP;Узел термозакрепления;RM1-5364-000CN;Печь, в сборе;220-240В;;;
HP;Детали корпуса;7121-8043;Логотип производителя;;;;
HP;Детали корпуса;CB536-00014;Накладка на панель управления;Русский язык;;735;
Canon;Детали корпуса;FC7-3621-000;Клипса крышки доступа к картриджу;;;154;
HP;Детали корпуса;RC1-8373-000CN;Левая крышка;;Снято с производства;1324;
HP;Детали корпуса;RC1-8443-000CN;Лоток выхода бумаги из узла сканирования;;;1582;hp\RC1-8443-000CN.jpg
HP;Детали корпуса;RM1-0896-000CN;Левая петля протяжного сканера, в сборе;соединяет верхнюю крышку принтера и нижнюю часть сканера;;400;
HP;Детали корпуса;RM1-0897-000CN;Правая петля протяжного сканера, в сборе;соединяет верхнюю крышку принтера и нижнюю часть сканера;;400;
HP;Детали корпуса;RM1-3059-000CN;Выходной лоток для бумаги, в сборе;;Снято с производства;1020;hp\RM1-3059-000CN.jpg
HP;Детали корпуса;RM1-3060-000CN;Входной лоток для бумаги;верхняя часть - вмещает 10 листов;Снято с производства;2173;hp\RM1-3060-000CN.jpg
HP;Детали корпуса;RM1-3419-000CN;Лоток захвата бумаги сканера, в сборе;;;1714;hp\RM1-3419-000CN.jpg
