HP;Узел автоматической подачи оригиналов;PF2282-SVPNR;Узел автоматической подачи документов, в сборе;;;25598;hp\PF2282-SVPNR.jpg
HP;Узел автоматической подачи оригиналов;PF2282K035NI;Площадка отделения бумаги из узла автоматической подачи документов;;;1377;hp\PF2282K035NI.jpg
HP;Узел автоматической подачи оригиналов;PF2282K039NI;Узел захвата бумаги в автоподатчике документов, в сборе;;;1924;hp\PF2282K039NI.jpg
HP;Узел автоматической подачи оригиналов;PF2282K040NI;Держатель узла захвата бумаги в автоподатчике документов, в сборе;;;981;hp\PF2282K040NI.jpg
HP;Узел автоматической подачи оригиналов;PF2282K042NI;Лоток подачи бумаги автоподатчика документов;;;2214;hp\PF2282K042NI.jpg
HP;Узел автоматической подачи оригиналов;PF2282K043NI;Держатель майларовых направляющих, в сборе;;;1107;
HP;Узел автоматической подачи оригиналов;PF2282P025NI;Нижняя майларовая направляющая пластина в автоподатчике документов;;;1175;
HP;Узел автоматической подачи оригиналов;Q6496A;Майларовые направляющие для автоподатчика документов;;;1711;hp\Q6496A.jpg
HP;Подача и захват бумаги;5851-4076;Узел подачи бумаги, в сборе;;;4721;hp\5851-4076.jpg
HP;Подача и захват бумаги;RK2-0276-000CN;Соленоид узла захвта из лотка ручной подачи;лоток 1;;1295;hp\RK2-0276-000CN.jpg
HP;Подача и захват бумаги;RK2-0349-000CN;Муфта узла подачи бумаги;;;1251;hp\RK2-0349-000CN.jpg
HP;Подача и захват бумаги;RL1-0007-000CN;Площадка отделения бумаги из лотка ручной подачи;лоток 1;;461;hp\RL1-0007-000CN.jpg
HP;Подача и захват бумаги;RL1-0019-000CN;Ролик захвата бумаги из лотка ручной подачи;лоток 1;;66;hp\RL1-0019-000CN.jpg
HP;Подача и захват бумаги;RM1-0025-040CN;Узел подачи бумаги, в сборе;;;2642;hp\RM1-0025-040CN.jpg
HP;Подача и захват бумаги;RM1-0034-070CN;Привод узла захвата бумаги, в сборе;лоток 2;;5739;hp\RM1-0034-070CN.jpg
HP;Подача и захват бумаги;RM1-0940-000CN;Лоток выхода бумаги;;;2767;
HP;Подача и захват бумаги;RM1-1572-040CN;Лоток ручной подачи бумаги, в сборе;лоток 1 / наружная крышка в комплект не входит;;7023;hp\RM1-1572-040CN.jpg
HP;Внутренние компоненты;5851-2766;Колебательный узел, в сборе;;;752;hp\5851-2766.jpg
HP;Внутренние компоненты;RC1-0331-000CN;Шестерня передвижных ограничителей формата бумаги в кассете;20 зубов;;329;
HP;Внутренние компоненты;RM1-0041-020CN;Узел определения формата бумаги в кассете, в сборе;лоток 2;;1455;hp\RM1-0041-020CN.jpg
HP;Внутренние компоненты;RM1-1022-020CN;Узел реверса, в сборе;;;17305;
HP;Внутренние компоненты;RM1-1049-000CN;Главный редуктор, в сборе;;;2612;hp\RM1-1049-000CN.jpg
HP;Внутренние компоненты;RM1-8438-000CN;Датчик температуры;TH3;;332;hp\RM1-8438-000CN.jpg
HP;Внутренние компоненты;WG8-5849-000CN;Датчик наличия бумаги;;;389;hp\WG8-5849-000CN.jpg
HP;Электронные компоненты;CB425-67914;Плата форматтера;;;38342;
HP;Электронные компоненты;IR4041-SVPNR;Планшетный сканер, в сборе;;;;hp\IR4041-SVPNR.jpg
HP;Электронные компоненты;IR4041K512NR;Плата контроллера сканера;;;13152;
HP;Электронные компоненты;RK2-0275-000CN;Мотор привода картриджа;;;2105;hp\RK2-0275-000CN.jpg
HP;Электронные компоненты;RM1-1014-060CN;Плата низковольтного питания;220В;;29658;
HP;Электронные компоненты;RM1-1042-040CN;Плата питания;220-240В;;46050;
HP;Электронные компоненты;RM1-1354-000CN;Плата контроллера напряжения;;;33745;hp\RM1-1354-000CN.jpg
HP;Электронные компоненты;RM1-1573-040CN;Блок лазера;;;23282;
HP;Узел термозакрепления;CB425-69003;Печь, в сборе;220В;;16418;hp\CB425-69003.jpg
HP;Узел термозакрепления;RC1-3321-000CN;Прижимной вал;;;;hp\RC1-3321-000CN.jpg
HP;Детали корпуса;RM1-0005-020CN;Внутренняя часть лотка ручной подачи бумаги, в сборе;лоток 1 / включает в себя передвижные ограничители формата бумаги;;2731;hp\RM1-0005-020CN.jpg
HP;Детали корпуса;RM1-1016-000CN;Правая крышка, в сборе;;;1739;
HP;Детали корпуса;RM1-1047-000CN;Узел выхода бумаги, в сборе;;;4257;hp\RM1-1047-000CN.jpg
