Kyocera;Узел автоматической подачи оригиналов;303LJ44040;Электромагнитная муфта в узле автоматической подачи документов;;;4571;kyocera\303LJ44040.jpg
Kyocera;Узел автоматической подачи оригиналов;303LJ94120;Лоток подачи бумаги автоподатчика документов, в сборе;;;4797;
Kyocera;Узел автоматической подачи оригиналов;303M694030;Площадка отделения бумаги в узле автоматической подачи документов, в сборе;;;5602;
Kyocera;Узел автоматической подачи оригиналов;36211110;Ролик захвата бумаги в узле автоматической подачи документов;;;767;kyocera\36211110.jpg
Kyocera;Узел автоматической подачи оригиналов;3BR07040;Ролик подачи бумаги в узле автоматической подачи документов;;;422;kyocera\3BR07040.jpg
Kyocera;Подача и захват бумаги;302KV94192;Узел подачи бумаги из кассеты, в сборе;ролики и держатель;;2828;kyocera\302KV94192.jpg
Kyocera;Подача и захват бумаги;302KV94211;Привод узла подачи бумаги из кассеты, в сборе;;;11508;
Kyocera;Подача и захват бумаги;302KV94230;Привод узла ручной подачи бумаги, в сборе;;;6749;
Kyocera;Подача и захват бумаги;5AAVR0LL+051;Ролик захвата бумаги из лотка ручной подачи;;;843;kyocera\5AAVR0LL+051.jpg
Kyocera;Внутренние компоненты;302F944160;Вентилятор;;;4672;
Kyocera;Внутренние компоненты;302KV28070;Вал выхода бумаги;;;781;
Kyocera;Внутренние компоненты;302KV28101;Шестерня вала выхода бумаги;25/19 зубов;;69;
Kyocera;Внутренние компоненты;302KV28140;Шестерня привода вала выхода бумаги;19 зубов;;67;
Kyocera;Внутренние компоненты;302KV31091;Шестерня;50 зубов;;79;
Kyocera;Внутренние компоненты;302KV31130;Шестерня редуктора;36 зубов;;61;
Kyocera;Внутренние компоненты;302KV31170;Рычаг редуктора;;;67;
Kyocera;Внутренние компоненты;302KV31190;Пружина рычага в редукторе;;;61;
Kyocera;Внутренние компоненты;302KV94350;Подшипник шестерни;;;112;
Kyocera;Внутренние компоненты;DR-590A;Редуктор, в сборе;;;6491;
Kyocera;Внутренние компоненты;DR-590B;Редуктор, в сборе;;;10546;
Kyocera;Узел переноса;302KV94160;Вал переноса, в сборе;;;6194;
Kyocera;Узел переноса;DV-560C;Блок проявки;Голубой / Ресурс: до 200,000 стр.;;12889;kyocera\DV-560C.jpg
Kyocera;Узел переноса;DV-560K;Блок проявки;Чёрный / Ресурс: до 200,000 стр.;;12889;kyocera\DV-560K.jpg
Kyocera;Узел переноса;DV-560M;Блок проявки;Пурпурный / Ресурс: до 200,000 стр.;;12889;kyocera\DV-560M.jpg
Kyocera;Узел переноса;DV-560Y;Блок проявки;Жёлтый / Ресурс: до 200,000 стр.;;12889;kyocera\DV-560Y.jpg
Kyocera;Узел переноса;MC-590;Узел переноса заряда в драм-картридже, в сборе;;;6479;
Kyocera;Узел переноса;TR-590;Узел переноса изображения;Ресурс: до 200,000 стр.;;15772;kyocera\TR-590.jpg
Kyocera;Электронные компоненты;302KV00070;Мотор;;;951;
Kyocera;Электронные компоненты;302KV44041;Электромагнитная муфта;;;920;kyocera\302KV44041.jpg
Kyocera;Электронные компоненты;302KV94270;Мотор привода тонер-картриджа;Жёлтый;;6319;
Kyocera;Электронные компоненты;302KV94280;Мотор привода тонер-картриджа;Голубой;;6319;
Kyocera;Электронные компоненты;302KV94290;Мотор привода тонер-картриджа;Пурпурный;;6313;
Kyocera;Электронные компоненты;302KV94300;Мотор привода тонер-картриджа;Чёрный;;6333;
Kyocera;Электронные компоненты;302KV94310;Мотор блока лазера;;;6525;kyocera\302KV94310.jpg
Kyocera;Электронные компоненты;302KV94320;Датчик, в сборе;;;6717;
Kyocera;Электронные компоненты;302KV94350;Плата контроля тонер-картриджей, в сборе;;;7431;
Kyocera;Электронные компоненты;302KV94360;Плата контроля температуры;;;6138;
Kyocera;Электронные компоненты;302PV94050;Плата форматтера;;;42262;
Kyocera;Электронные компоненты;LK-595A;Блок лазера;;;18335;
Kyocera;Электронные компоненты;LK-595B;Блок лазера;;;20007;
Kyocera;Электронные компоненты;302KT94070;Плата датчиков наличия бумаги в кассете;;;;
Kyocera;Узел термозакрепления;302KV94220;Привод узла термозакрепления, в сборе;;;6732;
Kyocera;Узел термозакрепления;FK-590;Печь, в сборе;220В;;10660;kyocera\FK-590.jpg
