Kyocera;Узел автоматической подачи оригиналов;302P194100;Ролики подачи бумаги в узле автоматической подачи документов, в сборе;;;;
Kyocera;Узел автоматической подачи оригиналов;302P194110;Направляющая ролика отделения бумаги в узле автоматической подачи документов;;;;
Kyocera;Узел автоматической подачи оригиналов;302P194120;Ролик отделения бумаги в узле автоматической подачи документов, в сборе;;;;
Kyocera;Узел автоматической подачи оригиналов;MK-6110;Комплект для технического обслуживания узла автоматической подачи документов;(Включает: ролики подачи бумаги, в сборе, направляющая, ролик отделения бумаги, в сборе / Ресурс: до 300,000 стр.)302P194100 - Ролики подачи бумаги, в сборе (1)302P194110 - Направляющая ролика отделения бумаги (1)302P194120 - Ролик отделения бумаги, в сборе (1);;;
Kyocera;Подача и захват бумаги;302F906230;Ролик подачи бумаги;;;768;kyocera\302F906230.jpg
Kyocera;Подача и захват бумаги;302F909171;Ролик отделения бумаги;;;946;kyocera\302F909171.jpg
Kyocera;Подача и захват бумаги;302HN06080;Ролик захвата бумаги;;;482;kyocera\302HN06080.jpg
Kyocera;Подача и захват бумаги;302K394460;Ролик захвата бумаги;;;4231;kyocera\302K394460.jpg
Kyocera;Подача и захват бумаги;302K394480;Основной узел подачи бумаги, в сборе;;;5986;kyocera\302K394480.jpg
Kyocera;Подача и захват бумаги;302P194090;Площадка отделения бумаги;;;;
CET;Подача и захват бумаги;CET4322PT;Резина ролика отделения бумаги;;;116;kyocera\CET4322PT.jpg
CET;Подача и захват бумаги;CET7806BPT;Резина ролика захвата бумаги;;;116;
Kyocera;Внутренние компоненты;302K094400;Блок очистки в узле регистрации;;;6090;
Kyocera;Узел переноса;TR-8115A;Узел переноса изображения, в сборе;;;;
Kyocera;Узел переноса;TR-8115B;Вал переноса изображения, в сборе;;;;
Kyocera;Электронные компоненты;302K394190;Мотор подъёма;;;6004;kyocera\302K394190.jpg
Kyocera;Электронные компоненты;302KV44041;Электромагнитная муфта;;;920;kyocera\302KV44041.jpg
Kyocera;Электронные компоненты;302KV94360;Плата контроля температуры;;;6138;
Kyocera;Электронные компоненты;302K094100;Мотор;;;6360;kyocera\302K094100.jpg
Kyocera;Электронные компоненты;LK-8115;Блок лазера;1 шт. / в аппарате 4 шт.;;;
Kyocera;Узел термозакрепления;FK-8115;Правая часть узла термозакрепления, в сборе;;;;
Kyocera;Узел термозакрепления;FK-8117IH;Левая часть узла термозакрепления, в сборе;220В;;;
Kyocera;Детали корпуса;302P304010;Крышка доступа к картриджам;;;;
