Kyocera;Подача и захват бумаги;302F906230;Ролик подачи бумаги;;;768;kyocera\302F906230.jpg
Kyocera;Подача и захват бумаги;302NG94110;Ролик отделения бумаги из кассеты;;;;
Kyocera;Подача и захват бумаги;302NG94120;Ролик захвата бумаги;;;725;
Kyocera;Подача и захват бумаги;302NG94380;Площадка отделения бумаги;;;1132;
CET;Подача и захват бумаги;CET7829;Резина ролика подачи бумаги;;;157;kyocera\CET7829.jpg
Kyocera;Подача и захват бумаги;302NG94131;Ролик захвата бумаги в лотке ручной подачи;;;527;kyocera\302NG94131.jpg
Kyocera;Внутренние компоненты;302H024360;Подшипник;;;30;
Kyocera;Внутренние компоненты;302HN31650;Пружина;;;156;
Kyocera;Узел переноса;DV-4105;Блок проявки;Ресурс: до 300,000 стр.;;9025;kyocera\DV-4105.jpg
Kyocera;Узел переноса;MC-4105;Узел переноса заряда, в сборе;;;4980;
Kyocera;Электронные компоненты;302F944131;Мотор узла выхода бумаги;;;4478;kyocera\302F944131.jpg
Kyocera;Электронные компоненты;302NG94250;Плата высоковольтного питания;;;5517;
Kyocera;Электронные компоненты;LK-4105;Блок лазера;;;9582;
Kyocera;Узел термозакрепления;FK-4105;Печь, в сборе;220В;;13503;kyocera\FK-4105.jpg
CN;Узел термозакрепления;HR-FK4105;Тефлоновый вал;;;728;
CN;Узел термозакрепления;PR-FK4105;Прижимной вал;;;1374;
Kyocera;Детали корпуса;1202NG0UN0;Крышка планшетного сканера;тип H;;;
