Samsung;Подача и захват бумаги;JC93-00540A;Ролик захвата бумаги, в сборе;;;703;samsung\JC93-00540A.jpg
Samsung;Внутренние компоненты;JC61-04861A;Озоновый фильтр;;;329;
Samsung;Внутренние компоненты;JC66-00340A;Шестерня муфты редуктора - привод узла термозакрепления;ступица;;223;
Samsung;Внутренние компоненты;JC66-00417A;Шестерня муфты редуктора - привод узла термозакрепления;наружная;;248;
Samsung;Внутренние компоненты;JC93-00078B;Очиститель регистрации;;;547;samsung\JC93-00078B.jpg
Samsung;Узел переноса;JC95-01520A;Вал переноса заряда, в сборе;;;3747;samsung\JC95-01520A.jpg
Samsung;Узел переноса;JC96-10508A;Блок проявки, в сборе;;;21343;samsung\JC96-10508A.jpg
Samsung;Электронные компоненты;JC97-04017A;Блок лазера;;;14720;samsung\JC97-04017A.jpg
Samsung;Электронные компоненты;JC31-00123B;Мотор;;;3745;samsung\JC31-00123B.jpg
Samsung;Узел термозакрепления;4713-001633;Лампа нагрева тефлонового вала;220В;;5356;samsung\4713-001633.jpg
Samsung;Узел термозакрепления;6601-001479;Шариковый подшипник тефлонового вала;1 шт. / в аппарате 2 шт.;;1412;
Samsung;Узел термозакрепления;6601-002415;Шариковый подшипник прижимного вала;в аппарате 2 шт.;;842;
Samsung;Узел термозакрепления;JC61-01958A;Подшипник тефлонового вала;1 шт. / в узле 2 шт.;;;
Samsung;Узел термозакрепления;JC66-03131A;Шестерня привода тефлонового вала;;;2012;
Samsung;Узел термозакрепления;JC66-03256A;Прижимной вал;;;8169;samsung\JC66-03256A.jpg
Samsung;Узел термозакрепления;JC66-03257A;Тефлоновый вал;;;6555;
Samsung;Узел термозакрепления;JC91-01050A;Печь, в сборе;220В;;21977;samsung\JC91-01050A.jpg
