Samsung;Подача и захват бумаги;JC66-02939B;Резиновый элемент на ролик захвата бумаги из основного лотка;1 шт. / в узле 2 шт.;;354;samsung\JC66-02939B.jpg
Samsung;Подача и захват бумаги;JC73-00295A;Резиновый элемент на ролик захвата бумаги из обходного лотка;1 шт. / в узле 2 шт.;;383;samsung\JC73-00295A.jpg
Samsung;Подача и захват бумаги;JC90-01182A;Кассета на 250 листов, в сборе;;;2876;
Samsung;Подача и захват бумаги;JC93-00673A;Узел захвата / подачи бумаги из основного лотка, в сборе;в держателе;;661;samsung\JC93-00673A.jpg
Samsung;Подача и захват бумаги;JC93-00794A;Ролик отделения бумаги, в сборе;в держателе;;771;samsung\JC93-00794A.jpg
Samsung;Узел переноса;JC66-03756A;Вал переноса заряда;;;1385;samsung\JC66-03756A.jpg
Samsung;Узел переноса;JC96-06514A;Узел переноса изображения, в сборе;Ресурс: до 100,000 стр.;;13336;samsung\JC96-06514A.jpg
Samsung;Электронные компоненты;JC92-02777A;Плата форматтера;;;;samsung\JC92-02777A.jpg
Samsung;Электронные компоненты;JC97-04082A;Блок лазера;;;7958;samsung\JC97-04082A.jpg
Samsung;Узел термозакрепления;4712-001091;Термостат;;Снято с производства;;
Samsung;Узел термозакрепления;4713-001658;Лампа нагрева тефлонового вала;220В;;;
Samsung;Узел термозакрепления;JC66-03776A;Прижимной вал;;;;
Samsung;Узел термозакрепления;JC91-01214A;Печь, в сборе;220В;;;samsung\JC91-01214A.jpg
Samsung;Детали корпуса;JC66-02086D;Рычаг  лотка ручной подачи;лоток 1 держатель;;;
