Samsung;Узел автоматической подачи оригиналов;JB73-00052A;Площадка; (накладка) отделения бумаги из автоподатчика документов;;72;samsung\JB73-00052A.jpg
Samsung;Узел автоматической подачи оригиналов;JB75-00299A;Ролик подачи бумаги в автоподатчике документов, в сборе;;;332;samsung\JB75-00299A.jpg
Samsung;Узел автоматической подачи оригиналов;JB75-00300A;Ролик захвата бумаги в автоподатчике документов, в сборе;;;227;samsung\JB75-00300A.jpg
Samsung;Узел автоматической подачи оригиналов;JC66-00560A;Ось узла подачи бумаги в автоподатчике документов;ролики подачи бумаги в комплекте;;400;samsung\JC66-00560A.jpg
Samsung;Узел автоматической подачи оригиналов;JC96-04232A;Узел автоматической подачи документов, в сборе;лоток подачи бумаги в комплекте;;;
Samsung;Узел автоматической подачи оригиналов;JC97-01709A;Площадка отделения бумаги из автоподатчика документов, в сборе;;;316;samsung\JC97-01709A.jpg
Samsung;Узел автоматической подачи оригиналов;JC97-02203A;Узел захвата бумаги из автоподатчика документов, в сборе;;;805;samsung\JC97-02203A.jpg
Samsung;Узел автоматической подачи оригиналов;JC31-00036A;Мотор привода узла автоматической подачи документов;;;1209;
Samsung;Подача и захват бумаги;JC33-00015B;Соленоид;;;491;
Samsung;Подача и захват бумаги;JC61-01716A;Основание; (внутренняя пластиковая часть) ролика захвата бумаги из лотка подачи;;240;samsung\JC61-01716A.jpg
Samsung;Подача и захват бумаги;JC61-01717A;Ролик захвата бумаги из лотка подачи;пластиковая часть, без резинового элемента;;290;samsung\JC61-01717A.jpg
Samsung;Подача и захват бумаги;JC66-00829A;Ось узла захвата бумаги из лотка подачи;;;270;samsung\JC66-00829A.jpg
Samsung;Подача и захват бумаги;JC66-01247A;Шестерня подачи в узле захвата бумаги;;;274;
Samsung;Подача и захват бумаги;JC66-01251A;Вал подачи бумаги;2 резинки на металлической оси;;552;samsung\JC66-01251A.jpg
Samsung;Подача и захват бумаги;JC69-00987A;Накладка площадки отделения бумаги из лотка подачи;;;84;
Samsung;Подача и захват бумаги;JC72-00382B;Подшипник вала подачи бумаги;;;266;samsung\JC72-00382B.jpg
Samsung;Подача и захват бумаги;JC73-00239A;Резиновый элемент на ролик захвата бумаги из лотка подачи;;;223;samsung\JC73-00239A.jpg
Samsung;Подача и захват бумаги;JC97-02664A;Узел захвата бумаги из основного лотка, в сборе;;;1958;samsung\JC97-02664A.jpg
Samsung;Подача и захват бумаги;JC97-02665A;Муфта узла захвата бумаги, в сборе;;;265;
Samsung;Подача и захват бумаги;JC97-02669A;Площадка отделения бумаги из лотка подачи, в сборе;;;309;
Samsung;Подача и захват бумаги;JC97-03443A;Ось узла захвата из основного лотка, в сборе;ролик захвата бумаги в комплекте;;724;
Samsung;Внутренние компоненты;3103-001085;Вентилятор;;;921;
Samsung;Внутренние компоненты;6107-001163;Пружина пластиковых прижимов в узле выхода бумаги;;;527;samsung\6107-001163.jpg
Samsung;Внутренние компоненты;6602-001067;Ремень привода сканера;;;425;
Samsung;Внутренние компоненты;JC31-00027A;Вентилятор;;;902;
Samsung;Внутренние компоненты;JC39-00407A;Шлейф в автоподатчике документов;;;298;samsung\JC39-00407A.jpg
Samsung;Внутренние компоненты;JC39-00408A;Шлейф каретки сканера;;;349;samsung\JC39-00408A.jpg
Samsung;Внутренние компоненты;JC39-00642A;Кабель блока лазера;;;;
Samsung;Внутренние компоненты;JC66-00804A;Шестерня мотора;139/83 зуба;;425;
Samsung;Внутренние компоненты;JC66-00806A;Шестерня привода картриджа;76/38/29 зубов;;274;
Samsung;Внутренние компоненты;JC66-01244A;Шестерня редуктора - привод узла термозакрепления;;;274;
Samsung;Внутренние компоненты;JC66-01304A;Флажок датчика выхода бумаги;;;259;
Samsung;Внутренние компоненты;JC96-04033A;Главный редуктор, в сборе;мотор в комплекте;;3175;
Samsung;Внутренние компоненты;JG66-40003A;Шестерня ограничителей формата бумаги;;;268;
Smasung;Внутренние компоненты;JC66-00810A;Шестерня узла выхода бумаги;17 зубов;;;
Samsung;Узел переноса;JC66-01218A;Вал переноса заряда;;;451;samsung\JC66-01218A.jpg
Samsung;Узел переноса;JC72-00102A;Подшипник вала переноса заряда;левый;;34;
Samsung;Электронные компоненты;0609-001223;Линейка сканирования;;;;samsung\0609-001223.jpg
Samsung;Электронные компоненты;JB31-00011A;Двигатель планшетного сканера;;;1365;
Samsung;Электронные компоненты;JC31-00068A;Главный мотор;;;2404;
Samsung;Электронные компоненты;JC44-00132A;Плата высоковольтного питания;;;2401;
Samsung;Электронные компоненты;JC44-00133A;Плата импульсного питания;;;;
Samsung;Электронные компоненты;JC92-01763A;Плата датчика контроля картриджа с контактными пружинами;;;1293;
Samsung;Электронные компоненты;JC96-02655A;Редуктор планшетного сканера;мотор в комплекте;;1954;
