Xerox;Узел автоматической подачи оригиналов;003N01042;Площадка отделения бумаги из автоподатчика документов;(с двухсторонним сканированием), в сборе;;1256;xerox\003N01042.jpg
Xerox;Узел автоматической подачи оригиналов;007N01595;Редуктор узла автоматической подачи документов;(с двухсторонним сканированием), в сборе;;4829;
Xerox;Узел автоматической подачи оригиналов;022N02360;Узел транспортировки бумаги в автоподатчике документов, в сборе;;;3536;
Xerox;Узел автоматической подачи оригиналов;022N02373;Ролик захвата бумаги в автоподатчике документов, в сборе;;;462;xerox\022N02373.jpg
Xerox;Узел автоматической подачи оригиналов;101N01421;Автоподатчик документов, в сборе;;;11316;xerox\101N01421.jpg
Xerox;Узел автоматической подачи оригиналов;121N01161;Соленоид автоподатчика с двухсторонней печатью;1 шт. / в узле 2 шт.;;1367;
Xerox;Узел автоматической подачи оригиналов;130N01533;Узел захвата бумаги из автоподатчика документов;(с двухсторонним сканированием), в сборе;;3972;xerox\130N01533.jpg
Xerox;Узел автоматической подачи оригиналов;022N02190;Ролик подачи бумаги в автоподатчике документов, в сборе;;;403;xerox\022N02190.jpg
Xerox;Подача и захват бумаги;003N01080;Флажок датчика наличия бумаги в узле регистрации;;;191;xerox\003N01080.jpg
Xerox;Подача и захват бумаги;007N01593;Муфта ролика захвата бумаги, в сборе;;;131;xerox\007N01593.jpg
Xerox;Подача и захват бумаги;019N00742;Накладка площадки отделения бумаги;;;308;xerox\019N00742.jpg
Xerox;Подача и захват бумаги;019N00947;Площадка отделения бумаги из основного лотка, в сборе;;;1350;xerox\019N00947.jpg
Xerox;Подача и захват бумаги;022N01609;Муфта верхнего вала подачи бумаги, в сборе;;;1241;
Xerox;Подача и захват бумаги;022N02413;Ролик захвата бумаги из кассеты, в сборе;лоток 2;;1228;xerox\022N02413.jpg
Xerox;Подача и захват бумаги;121N01162;Соленоид;;;462;xerox\121N01162.jpg
Xerox;Подача и захват бумаги;130N01534;Резиновый элемент на ролик захвата бумаги из обходного лотка;;;180;
Samsung;Подача и захват бумаги;JC61-01619A;Крышка; (держатель) флажка наличия бумаги в узле регистрации и флажка выхода бумаги при двухсторонней печати;;661;xerox\JC61-01619A.jpg
Samsung;Подача и захват бумаги;JC66-00393A;Шестерня муфты верхнего вала подачи бумаги;;;190;
Samsung;Подача и захват бумаги;JC66-01190A;Флажок датчика выхода бумаги из узла двухсторонней печати;;;259;xerox\JC66-01190A.jpg
Samsung;Подача и захват бумаги;JC72-00382B;Подшипник вала подачи бумаги;;;266;xerox\JC72-00382B.jpg
Samsung;Подача и захват бумаги;JC97-02443A;Ролик подачи бумаги из обходного лотка, в сборе;лоток 1;;417;xerox\JC97-02443A.jpg
Samsung;Подача и захват бумаги;JC66-01168A;Резиновый элемент на ролик захвата бумаги из кассеты;лоток 2;;;
Samsung;Подача и захват бумаги;JC61-01601B;Ролик захвата бумаги из из кассеты;основание, пластиковая часть, без резинового элемента;;290;xerox\JC61-01601B.jpg
Xerox;Подача и захват бумаги;050N00520;Узел захвата бумаги лотка ручной подачи, в сборе;лоток 1;;7203;
Xerox;Внутренние компоненты;029N00395;Степлер, в сборе;;;27258;
Xerox;Внутренние компоненты;032N00490;Направляющая узла двухсторонней печати, в сборе;;;6872;
Xerox;Внутренние компоненты;101N01420;Узел подачи бумаги для двухсторонней печати, в сборе;;;3392;xerox\101N01420.jpg
Xerox;Внутренние компоненты;109N00542;Ремень привода сканера;;;2326;
Xerox;Внутренние компоненты;117N01788;Шлейф каретки сканера;;;2460;xerox\117N01788.jpg
Xerox;Внутренние компоненты;120N00517;Флажок датчика переполнения лотка выхода бумаги;;;204;xerox\120N00517.jpg
Xerox;Внутренние компоненты;127N07559;Главный вентилятор;;;2586;
Xerox;Внутренние компоненты;127N07583;Вентилятор;;;1699;
Samsung;Внутренние компоненты;JC65-00019A;Пружина датчика контроля картриджа;1 шт. / в аппарате 4 шт.;;260;xerox\JC65-00019A.jpg
Samsung;Внутренние компоненты;JC66-00417A;Шестерня муфты редуктора - привод узла термозакрепления;наружная;;248;
Xerox;Внутренние компоненты;032N00390;Направляющая картриджа;правая;Снято с производства;;xerox\032N00390.jpg
Xerox;Внутренние компоненты;007N01591;Главный редуктор, в сборе;мотор в комплекте;;;
Xerox;Узел переноса;002N02788;Вал переноса заряда, в сборе;;;2362;
